,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
2719,mcdankj01,"February 9, 1993","Mobile, Alabama",0.6,41.2,29.0,77.6,148,10.8,5.3,2.2,1.3,46.4,Clemson University,32nd overall,2nd round,Philadelphia 76ers,2014,6-6,"Central Park Christian School in Birmingham, Alabama",K.J. McDaniels,Small Forward and Shooting Guard,Right,205lb
2720,mcderdo01,"January 3, 1992","Grand Forks, North Dakota",0.8,45.9,40.4,82.5,341,10.7,7.8,2.1,10.6,54.5,Creighton University,11th overall,1st round,Denver Nuggets,2014,6-8,"Ames in Ames, Iowa",Doug McDermott,Small Forward,Right,225lb
2721,mcdonbe01,"July 20, 1962","Torrance, California",1.3,46.8,22.7,72.7,176,8.3,6.0,3.2,2.5,47.3,"University of California, Irvine",50th overall,3rd round,Cleveland Cavaliers,1984,6-8,"Long Beach Polytechnic in Long Beach, California",Ben McDonald,Power Forward and Small Forward,Right,210lb
2725,mcdowha01,"November 13, 1959","Memphis, Tennessee",0.5,45.1,0.0,71.0,206,10.0,2.9,2.3,2.0,45.1,University of Memphis,102nd overall,5th round,Golden State Warriors,1981,6-9,"Treadwell in Memphis, Tennessee",Hank McDowell,Power Forward,Right,215lb
2726,mcdyean01,"September 7, 1974","Quitman, Mississippi",1.3,49.7,11.7,67.0,1015,17.2,12.0,7.5,69.8,49.7,University of Alabama,2nd overall,1st round,Los Angeles Clippers,1995,6-9,"Quitman in Quitman, Mississippi",Antonio McDyess,Center and Power Forward,Right,220lb
2727,mcelrji01,"October 4, 1953","Cotton Plant, Arkansas",3.5,46.8,20.6,76.4,418,12.9,9.9,2.0,14.0,46.9,Central Michigan University,38th overall,3rd round,New Orleans Jazz,1975,6-3,"Murray-Wright in Detroit, Michigan",Jim McElroy,Point Guard,Right,190lb
2728,mcfarpa01,"December 7, 1951","Philadelphia, Pennsylvania",1.5,45.8,26.2,77.1,148,13.3,6.4,2.0,2.4,46.5,Saint Joseph's University,28th overall,2nd round,New York Knicks,1973,6-5,"John F. Kennedy in Willingboro, New Jersey",Patrick McFarland,Shooting Guard,Right,185lb
2731,mcgarmi01,"June 6, 1992","Chesterton, Indiana",0.3,52.7,0.0,58.0,52,15.4,4.4,3.5,1.3,52.7,University of Michigan,21st overall,1st round,Oklahoma City Thunder,2014,6-10,"Brewster Academy in Wolfeboro, New Hampshire",Mitch McGary,Power Forward,Left,255lb
2732,mcgeeja01,"January 19, 1988","Flint, Michigan",0.4,57.0,7.4,58.8,633,19.5,8.0,5.1,31.9,57.0,"University of Nevada, Reno",18th overall,1st round,Washington Wizards,2008,7-0,"Hales Franciscan in Chicago, Illinois",JaVale McGee,Center,Right,270lb
2733,mcgeemi01,"July 29, 1959","Tyler, Texas",1.2,48.7,35.4,59.7,520,14.0,9.6,2.1,15.1,52.3,University of Michigan,19th overall,1st round,Los Angeles Lakers,1981,6-5,"North in Omaha, Nebraska",Mike McGee,Small Forward and Shooting Guard,Right,190lb
2735,mcginge01,"August 12, 1950","Harpersville, Alabama",3.7,45.8,27.3,66.4,842,20.0,20.2,11.0,74.6,46.1,Indiana University,22nd overall,2nd round,Philadelphia 76ers,1973,6-8,"George Washington in Indianapolis, Indiana",George McGinnis,Power Forward and Small Forward,Right,235lb
2744,mcguido01,"October 20, 1985","San Diego, California",1.2,41.9,18.8,65.8,342,9.8,2.7,3.4,4.1,42.0,"University of California, California State University, Fresno",47th overall,2nd round,Washington Wizards,2007,6-9,"Lincoln in San Diego, California",Dominic McGuire,Shooting Guard and Power Forward and Small Forward,Right,220lb
2745,mchalke01,"December 19, 1957","Hibbing, Minnesota",1.7,55.4,26.1,79.8,971,20.0,17.9,7.3,113.0,55.5,University of Minnesota,3rd overall,1st round,Boston Celtics,1980,6-10,"Hibbing in Hibbing, Minnesota",Kevin McHale,Power Forward,Right,210lb
2747,mcilvji01,"July 30, 1972","Racine, Wisconsin",0.3,44.6,10.0,55.1,401,10.0,2.7,3.1,9.4,44.7,Marquette University,32nd overall,2nd round,Washington Bullets,1994,7-1,"St. Catherine in Racine, Wisconsin",Jim McIlvaine,Center,Right,240lb
2748,mcinnje01,"October 22, 1974","Charlotte, North Carolina",4.4,43.1,32.8,79.6,576,12.6,9.4,2.0,23.1,46.1,University of North Carolina,37th overall,2nd round,Denver Nuggets,1996,6-4,"Oak Hill Academy in Mouth of Wilson, Virginia",Jeff McInnis,Point Guard and Shooting Guard,Right,190lb
2752,mckenke01,"January 8, 1959","St. Paul, Minnesota",1.4,41.4,36.7,81.9,243,10.5,5.4,1.3,4.0,45.6,Creighton University,88th overall,4th round,Los Angeles Lakers,1981,6-5,"Palatine Township in Palatine, Illinois",Kevin McKenna,Shooting Guard,Right,195lb
2753,mckenfo01,"February 16, 1963","Camden, New Jersey",0.2,25.0,50.0,100.0,6,-2.2,2.8,1.2,-0.2,26.8,Loyola Marymount University,48th overall,3rd round,San Antonio Spurs,1986,6-7,"Pasadena in Pasadena, California",Forrest McKenzie,Small Forward,Right,200lb
2755,mckeyde01,"October 10, 1966","Meridian, Mississippi",2.4,48.6,31.6,77.9,937,13.9,11.0,4.7,61.8,49.8,University of Alabama,9th overall,1st round,Seattle SuperSonics,1987,6-9,"Meridian in Meridian, Mississippi",Derrick McKey,Small Forward,Right,205lb
2756,mckieaa01,"October 2, 1972","Philadelphia, Pennsylvania",2.7,43.8,35.0,77.9,793,12.8,7.4,3.3,40.0,47.5,Temple University,17th overall,1st round,Portland Trail Blazers,1994,6-5,"Simon Gratz in Philadelphia, Pennsylvania",Aaron McKie,Point Guard and Shooting Guard and Small Forward,Right,209lb
2757,mckinbi01,"June 5, 1955","Waukegan, Illinois",3.5,49.3,6.3,82.0,476,13.7,8.0,1.4,15.6,49.3,Northwestern University,115th overall,6th round,Phoenix Suns,1977,6-0,"Zion-Benton in Zion, Illinois",Billy McKinney,Point Guard,Left,160lb
2762,mclembe01,"February 11, 1993","St. Louis, Missouri",1.1,41.7,35.3,78.3,368,9.3,8.8,2.5,4.6,49.4,University of Kansas,7th overall,1st round,Sacramento Kings,2013,6-5,"Christian Life Center in Humble, Texas",Ben McLemore,Shooting Guard,Right,201lb
2766,mcleoro01,"November 17, 1975","Jersey City, New Jersey",1.1,40.9,11.1,81.9,113,10.1,7.2,2.7,0.2,41.2,"St. John's University, Duke University",20th overall,1st round,Atlanta Hawks,1998,6-8,"Saint Anthony's in Jersey City, New Jersey",Roshown McLeod,Small Forward,Right,221lb
2768,mcmilna01,"August 3, 1964","Raleigh, North Carolina",6.1,44.3,34.3,65.0,796,14.5,5.9,4.0,50.2,47.9,North Carolina State University,30th overall,2nd round,Seattle SuperSonics,1986,6-5,"Enloe in Raleigh, North Carolina",Nate McMillan,Shooting Guard and Point Guard,Right,195lb
2769,mcmilto01,"May 26, 1952","Elmira, New York",1.1,48.3,12.0,80.6,729,12.2,8.1,4.0,27.2,48.3,University of Maryland,9th overall,1st round,Buffalo Braves,1974,6-11,"Mansfield in Mansfield, Pennsylvania",Tom McMillen,Center,Left,215lb
2784,mcraejo01,"March 28, 1991","Savannah, Georgia",0.9,42.7,35.2,78.4,86,12.4,4.9,1.2,1.0,48.0,University of Tennessee,58th overall,2nd round,San Antonio Spurs,2014,6-5,"Liberty County in Hinesville, Georgia",Jordan McRae,Shooting Guard and Point Guard,Right,179lb
2786,mcrobjo01,"February 28, 1987","Indianapolis, Indiana",2.1,46.3,34.0,70.5,433,13.2,5.4,3.9,18.5,51.3,Duke University,37th overall,2nd round,Portland Trail Blazers,2007,6-10,"Carmel in Carmel, Indiana",Josh McRoberts,Center and Power Forward,Left,240lb
2790,meeda01,"February 11, 1971","Cleveland, Tennessee",0.5,31.2,22.2,44.4,40,6.5,1.9,0.9,-0.1,34.4,Western Kentucky University,34th overall,2nd round,Golden State Warriors,1993,6-5,"Cleveland in Cleveland, Tennessee",Darnell Mee,Shooting Guard,Right,175lb
2791,meeksjo01,"August 21, 1987","Nashville, Tennessee",1.1,42.0,37.3,87.9,539,12.8,9.3,2.1,24.3,51.7,University of Kentucky,41st overall,2nd round,Milwaukee Bucks,2009,6-4,"Norcross in Norcross, Georgia",Jodie Meeks,Shooting Guard,Right,210lb
2793,meentsc01,"January 4, 1964","Kankakee, Illinois",0.4,36.1,100.0,70.4,39,11.2,1.8,1.0,0.1,36.8,University of Illinois at Urbana-Champaign,74th overall,4th round,Chicago Bulls,1986,6-10,"Herscher in Herscher, Illinois",Scott Meents,Power Forward,Right,225lb
2799,melchbi01,"October 19, 1944","Philadelphia, Pennsylvania",5.0,45.9,23.6,80.9,646,13.8,10.6,2.0,28.8,46.2,Villanova University,19th overall,2nd round,Philadelphia 76ers,1966,6-1,"Bishop Eustace in Pennsauken, New Jersey",Bill Melchionni,Point Guard,Right,165lb
2802,meltode01,"May 28, 1998","North Hollywood, California",3.2,39.1,30.5,75.0,50,9.9,5.0,2.7,0.0,44.7,University of Southern California,46th overall,2nd round,Houston Rockets,2018,6-4,"Crespi HS in Encino, California",De'Anthony Melton,Point Guard,Right,200lb
2806,mengejo01,"October 16, 1949","Lacrosse, Wisconsin",2.1,47.9,0.0,80.9,636,14.6,9.8,1.9,27.9,47.9,Auburn University,21st overall,2nd round,Cincinnati Royals,1971,6-2,"Wilkie in Elwood, Indiana",John Mengelt,Shooting Guard,Right,195lb
2810,mercero01,"May 18, 1976","Nashville, Tennessee",2.1,42.9,25.0,80.8,432,12.5,13.6,3.1,9.4,43.4,University of Kentucky,6th overall,1st round,Boston Celtics,1997,6-7,"Oak Hill Academy in Mouth of Wilson, Virginia",Ron Mercer,Small Forward and Shooting Guard,Right,210lb
2811,meriwjo01,"October 26, 1953","Phenix City, Alabama",0.9,51.1,33.3,68.7,670,12.7,8.1,5.6,27.6,51.1,Southern Illinois University,11th overall,1st round,Houston Rockets,1975,6-10,"Central in Phenix City, Alabama",Joe Meriweather,Power Forward and Center,Right,215lb
2814,metuch01,"March 22, 1997","Los Angeles, California",0.4,32.8,0.0,76.5,29,6.4,1.8,1.2,-0.3,32.8,University of Southern California,49th overall,2nd round,San Antonio Spurs,2018,6-10,"Lawndale HS in Lawndale, California",Chimezie Metu,Power Forward,Right,225lb
2816,meyerlo01,"December 30, 1972","Emmetsburg, Iowa",0.6,43.2,34.8,69.6,140,8.5,4.6,3.4,0.5,43.9,Iowa State University,24th overall,1st round,Dallas Mavericks,1995,6-10,"Ruthven-Ayrshire in Ruthven, Iowa",Loren Meyer,Center and Power Forward,Right,257lb
2817,meyerda01,"April 21, 1953","San Diego, California",2.3,46.1,20.0,67.6,281,14.1,11.2,6.3,13.4,46.1,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,1975,6-8,"Sonora in LaHabra, California",Dave Meyers,Power Forward,Right,215lb
2819,michela01,"March 24, 1960","Houston, Texas",0.5,56.7,0.0,61.0,96,15.3,3.4,2.7,2.5,56.7,University of Houston,29th overall,2nd round,Chicago Bulls,1983,6-9,"Evan E. Worthing in Houston, Texas",Larry Micheaux,Power Forward,Right,220lb
2820,mickejo01,"July 9, 1994","Dallas, Texas",0.3,44.9,11.8,60.5,64,10.9,2.4,2.0,0.5,45.7,Louisiana State University,33rd overall,2nd round,Boston Celtics,2015,6-8,"Prime Prep Academy in Dallas, Texas",Jordan Mickey,Power Forward,Right,235lb
2821,middlkh01,"August 12, 1991","Charleston, South Carolina",3.2,45.1,38.8,87.0,455,15.7,15.7,4.4,31.0,51.7,Texas A&M University,39th overall,2nd round,Detroit Pistons,2012,6-8,"Porter-Gaud in North Charleston, South Carolina",Khris Middleton,Shooting Guard and Small Forward,Right,222lb
2823,mihmch01,"July 16, 1979","Milwaukee, Wisconsin",0.5,45.9,23.1,70.4,436,13.4,7.5,5.3,13.3,45.9,University of Texas at Austin,7th overall,1st round,Chicago Bulls,2000,7-0,"Westlake in Austin, Texas",Chris Mihm,Power Forward and Center,Right,265lb
2836,millean02,"March 19, 1976","Los Angeles, California",6.5,46.1,21.7,80.7,1304,17.4,12.5,3.7,100.8,46.8,University of Utah,8th overall,1st round,Cleveland Cavaliers,1999,6-3,"Verbum Dei in Los Angeles, California",Andre Miller,Point Guard and Shooting Guard,Right,200lb
2837,millean01,"October 22, 1971","Benton Harbor, Michigan",0.4,51.0,25.0,57.6,181,13.6,2.8,2.7,3.8,51.3,Michigan State University,39th overall,2nd round,Golden State Warriors,1994,6-9,"Benton Harbor in Benton Harbor, Michigan",Anthony Miller,Power Forward,Right,225lb
2841,milleda01,"March 21, 1990","Maysville, Kentucky",1.4,41.8,38.2,83.0,253,8.4,6.0,1.7,5.9,54.8,University of Kentucky,46th overall,2nd round,New Orleans Hornets,2012,6-8,"Mason County in Maysville, Kentucky",Darius Miller,Small Forward,Right,225lb
2842,milledi01,"April 26, 1958","Milwaukee, Wisconsin",0.6,44.4,0.0,-,8,3.3,1.0,0.9,-0.1,44.4,University of Toledo,40th overall,2nd round,Indiana Pacers,1980,6-6,"More in Milwaukee, Wisconsin",Dick Miller,Small Forward,Right,215lb
2846,millela01,"April 4, 1946","Allentown, Pennsylvania",2.4,43.2,24.8,72.4,486,13.5,13.6,5.0,19.5,43.9,University of North Carolina,62nd overall,5th round,Philadelphia 76ers,1968,6-4,"Catasauqua in Catasauqua, Pennsylvania",Larry Miller,Shooting Guard,Right,190lb
2848,millemi01,"February 19, 1980","Mitchell, South Dakota",2.6,45.9,40.7,76.9,1032,14.3,10.6,4.2,60.7,55.0,University of Florida,5th overall,1st round,Orlando Magic,2000,6-8,"Mitchell in Mitchell, South Dakota",Mike Miller,Shooting Guard and Small Forward,Right,218lb
2849,milleol01,"April 6, 1970","Fort Worth, Texas",2.2,53.4,11.6,63.9,493,15.2,7.4,5.9,21.1,53.5,University of Arkansas,22nd overall,1st round,Phoenix Suns,1992,6-9,"Southwest in Fort Worth, Texas",Oliver Miller,Center and Power Forward,Right,280lb
2850,millequ01,"November 18, 1992","Chicago, Illinois",0.5,35.0,29.2,70.6,69,8.4,4.3,2.4,-0.1,40.4,Baylor University,38th overall,2nd round,Denver Nuggets,2012,6-9,"Westchester Country Day in High Point, North Carolina",Quincy Miller,Power Forward,Right,210lb
2851,millere01,"August 24, 1965","Riverside, California",3.0,47.1,39.5,88.8,1389,18.4,18.2,3.0,174.4,54.4,"University of California, Los Angeles",11th overall,1st round,Indiana Pacers,1987,6-7,"Riverside Polytech in Riverside, California",Reggie Miller,Shooting Guard,Right,185lb
2853,millsch01,"January 25, 1970","Los Angeles, California",1.9,43.2,35.1,81.7,568,13.3,11.2,4.9,37.7,47.1,"University of Kentucky, University of Arizona",22nd overall,1st round,Cleveland Cavaliers,1993,6-6,"Fairfax in Los Angeles, California",Chris Mills,Small Forward and Power Forward,Right,215lb
2855,millspa02,"August 11, 1988","Canberra, Australia",2.4,43.1,39.1,84.9,605,14.4,8.4,1.7,27.5,53.6,Saint Mary's College of California,55th overall,2nd round,Portland Trail Blazers,2009,6-0,"Marist College Canberra in Canberra, Australia",Patty Mills,Point Guard,Right,180lb
2856,millste01,"December 21, 1967","Romulus, Michigan",1.3,45.7,38.4,78.1,678,14.7,10.6,5.4,33.3,50.0,University of Michigan,16th overall,1st round,Milwaukee Bucks,1990,6-10,"Romulus in Romulus, Michigan",Terry Mills,Power Forward,Right,230lb
2858,millspa01,"February 10, 1985","Monroe, Louisiana",2.3,49.1,33.4,73.4,945,19.0,14.1,7.4,88.2,51.2,Louisiana Tech University,47th overall,2nd round,Utah Jazz,2006,6-8,"Grambling in Grambling, Louisiana",Paul Millsap,Power Forward,Right,246lb
2859,miltosh01,"September 26, 1996","Owasso, Oklahoma",0.9,39.1,31.8,71.4,20,9.3,4.4,1.8,0.3,47.1,Southern Methodist University,54th overall,2nd round,Dallas Mavericks,2018,6-6,"Owasso HS in Owasso, Oklahoma",Shake Milton,Shooting Guard,Right,207lb
2860,minerha01,"May 5, 1971","Inglewood, California",1.2,46.0,31.1,78.5,200,12.6,9.0,2.2,4.2,46.8,University of Southern California,12th overall,1st round,Miami Heat,1992,6-5,"Inglewood in Inglewood, California",Harold Miner,Point Guard and Shooting Guard,Left,210lb
2862,minnidi01,"January 17, 1961","Lexington, Kentucky",3.8,47.0,27.2,73.9,222,11.4,5.3,1.7,4.1,48.1,University of Kentucky,33rd overall,2nd round,Dallas Mavericks,1983,6-3,"Lafayette in Lexington, Kentucky",Dirk Minniefield,Point Guard,Right,180lb
2864,minorgr01,"September 18, 1971","Sandersville, Georgia",1.4,47.8,22.6,76.7,277,12.9,6.9,2.7,8.2,48.5,University of Louisville,25th overall,1st round,Los Angeles Clippers,1994,6-6,"Washington County in Sandersville, Georgia",Greg Minor,Shooting Guard and Small Forward,Right,210lb
2869,mitchdo01,"September 7, 1996","Elmsford, New York",3.9,43.4,35.1,80.5,156,16.9,22.1,3.9,10.2,49.9,University of Louisville,13th overall,1st round,Denver Nuggets,2017,6-3,"Brewster Academy in Wolfeboro, New Hampshire",Donovan Mitchell,Shooting Guard,Right,215lb
2870,mitchle01,"February 22, 1941","Kiln, Mississippi",0.9,34.9,27.6,65.9,78,3.7,4.1,2.3,0.6,37.9,Mississippi State University,14th overall,2nd round,St. Louis Hawks,1963,6-4,"Kiln in Kiln, Mississippi",Leland Mitchell,Shooting Guard,Right,210lb
2871,mitchmi01,"January 1, 1956","Atlanta, Georgia",1.3,49.3,21.6,77.9,759,16.7,19.8,5.6,50.2,49.4,Auburn University,15th overall,1st round,Cleveland Cavaliers,1978,6-7,"Price in Atlanta, Georgia",Mike Mitchell,Small Forward,Right,215lb
2873,mitchsa01,"September 2, 1963","Columbus, Georgia",1.1,44.7,22.3,78.4,994,12.6,8.7,3.7,41.7,45.1,Mercer University,54th overall,3rd round,Houston Rockets,1985,6-6,"Columbus in Columbus, Georgia",Sam Mitchell,Power Forward and Small Forward,Right,210lb
2876,mitchto02,"April 7, 1992","Milwaukee, Wisconsin",0.1,41.7,100.0,57.9,21,18.1,1.0,1.2,0.2,45.8,University of North Texas,37th overall,2nd round,Detroit Pistons,2013,6-8,"L.G. Pinkston in Dallas, Texas",Tony Mitchell,Power Forward,Right,235lb
2878,mixst01,"December 30, 1947","Toledo, Ohio",1.8,49.9,28.6,80.3,788,16.2,10.6,5.3,57.6,49.9,University of Toledo,61st overall,5th round,Detroit Pistons,1969,6-7,"Rogers in Toledo, Ohio",Steve Mix,Small Forward and Power Forward,Left,215lb
2880,moblecu01,"September 1, 1975","Philadelphia, Pennsylvania",2.7,43.3,37.8,83.5,747,14.4,16.0,3.9,52.2,48.7,University of Rhode Island,41st overall,2nd round,Houston Rockets,1998,6-4,"Maine Central Institute in Pittsfield, Maine",Cuttino Mobley,Shooting Guard and Point Guard,Left,190lb
2881,mobleer01,"February 1, 1970","Bronx, New York",0.5,54.1,75.0,47.5,113,10.6,3.9,3.1,1.1,54.5,University of Pittsburgh,18th overall,1st round,Milwaukee Bucks,1994,6-11,"Salesian in New Rochelle, New York",Eric Mobley,Center,Right,235lb
2882,moedo01,"September 21, 1938","Brooklyn, New York",3.2,42.8,21.3,80.0,378,16.2,16.3,6.8,25.5,43.0,University of North Carolina,52nd overall,7th round,Detroit Pistons,1960,6-5,"The Bullis School in Potomac, Maryland",Doug Moe,Small Forward,Right,215lb
2885,mohamna01,"September 5, 1977","Chicago, Illinois",0.4,48.6,0.0,64.0,1005,15.0,5.8,4.7,34.3,48.6,University of Kentucky,29th overall,1st round,Utah Jazz,1998,6-10,"Kenwood in Chicago, Illinois",Nazr Mohammed,Center,Right,221lb
2886,moisoje01,"June 15, 1978","Paris, France",0.3,48.9,0.0,59.3,145,12.1,2.7,2.7,2.1,48.9,"University of California, Los Angeles",11th overall,1st round,Boston Celtics,2000,6-10,"Milford Academy in Milford, Connecticut",Jerome Moiso,Center and Power Forward,Left,235lb
2887,mokespa01,"January 3, 1957","Spokane, Washington",0.7,45.1,21.6,69.4,694,8.9,4.0,3.4,13.5,45.3,University of Kansas,42nd overall,2nd round,Houston Rockets,1979,7-0,"Crespi Carmelite in Encino, California",Paul Mokeski,Center,Right,250lb
2890,moncrsi01,"September 21, 1957","Little Rock, Arkansas",3.6,50.2,28.4,83.1,767,18.7,15.6,4.7,90.3,50.9,University of Arkansas,5th overall,1st round,Milwaukee Bucks,1979,6-3,"Hall in Little Rock, Arkansas",Sidney Moncrief,Point Guard and Shooting Guard,Right,180lb
2893,monkma01,"February 4, 1998","Jonesboro, Arkansas",1.5,37.6,33.5,87.1,136,11.2,7.9,1.5,0.3,47.1,University of Kentucky,11th overall,1st round,Charlotte Hornets,2017,6-3,"Bentonville in Bentonville, Arkansas",Malik Monk,Shooting Guard,Right,200lb
2895,monrogr01,"June 4, 1990","New Orleans, Louisiana",2.1,51.4,5.9,70.4,632,20.1,13.2,8.3,49.7,51.4,Georgetown University,7th overall,1st round,Detroit Pistons,2010,6-11,"Helen Cox in Harvey, Louisiana",Greg Monroe,Power Forward and Center,Left,265lb
2896,monroro01,"April 16, 1968","Baltimore, Maryland",0.7,36.8,22.2,82.6,38,8.8,3.4,0.9,-0.2,38.9,North Carolina State University,30th overall,2nd round,Atlanta Hawks,1991,6-3,"Saint Maria Goretti in Hagerstown, Maryland",Rodney Monroe,Shooting Guard,Right,185lb
2899,montrer01,"September 23, 1971","Indianapolis, Indiana",0.4,49.0,0.0,47.8,465,9.1,4.5,4.6,8.5,49.0,University of North Carolina,9th overall,1st round,Boston Celtics,1994,7-0,"Lawrence North in Indianapolis, Indiana",Eric Montross,Center,Right,270lb
2904,mooreet01,"February 25, 1989","East Chicago, Indiana",1.8,45.8,39.2,74.4,515,11.4,8.0,2.0,13.5,52.4,Purdue University,55th overall,2nd round,Boston Celtics,2011,6-4,"East Chicago in East Chicago, Indiana",E'Twaun Moore,Point Guard and Shooting Guard,Right,191lb
2905,moorege01,"July 29, 1945","St. Louis, Missouri",1.4,46.7,30.3,67.9,465,15.8,12.0,9.4,24.8,46.8,Saint Louis University,22nd overall,2nd round,Milwaukee Bucks,1968,6-9,"Sumner in St. Louis, Missouri",Gene Moore,Center,Right,225lb
2907,moorejo01,"March 3, 1958","Altoona, Pennsylvania",7.4,46.0,25.1,71.2,520,16.7,9.4,3.0,30.1,47.1,University of Texas at Austin,43rd overall,2nd round,Seattle SuperSonics,1979,6-1,"Altoona Area in Altoona, Pennsylvania",Johnny Moore,Point Guard,Right,175lb
2909,moorelo01,"May 5, 1957","Plymouth, South Carolina",2.8,44.2,20.0,75.0,112,10.7,6.7,2.0,1.5,45.0,West Virginia University,52nd overall,3rd round,New Jersey Nets,1980,6-1,"Mount Vernon in Mount Vernon, New York",Lowes Moore,Point Guard,Right,170lb
2916,morelja01,"March 11, 1938","Minden, Louisiana",1.6,42.0,30.0,72.1,582,13.0,9.8,5.9,19.1,42.0,Louisiana Tech University,4th overall,1st round,Detroit Pistons,1960,6-7,"Minden in Minden, Louisiana",Jackie Moreland,Power Forward and Small Forward,Left,215lb
2921,morrich01,"January 20, 1966","Atlanta, Georgia",1.6,44.1,30.6,73.9,747,15.1,11.0,4.7,37.4,47.5,Auburn University,4th overall,1st round,New Jersey Nets,1988,6-8,"Douglass in Atlanta, Georgia",Chris Morris,Small Forward and Shooting Guard,Right,210lb
2922,morrida01,"January 3, 1991","Los Angeles, California",1.4,38.4,32.2,63.0,132,7.7,3.3,1.0,-0.3,43.9,University of Michigan,41st overall,2nd round,Los Angeles Lakers,2011,6-4,"Windward in Los Angeles, California",Darius Morris,Point Guard,Right,190lb
2925,morrima03,"September 2, 1989","Philadelphia, Pennsylvania",1.5,43.1,36.0,74.7,545,13.2,11.5,4.6,26.8,50.1,University of Kansas,14th overall,1st round,Houston Rockets,2011,6-9,"APEX Academy in Pennsauken, New Jersey",Marcus Morris,Small Forward and Power Forward,Right,235lb
2926,morrima02,"September 2, 1989","Philadelphia, Pennsylvania",1.7,44.9,33.8,77.8,579,14.1,11.6,5.5,23.7,48.7,University of Kansas,13th overall,1st round,Phoenix Suns,2011,6-10,"APEX Academy in Pennsauken, New Jersey",Markieff Morris,Power Forward,Right,245lb
2928,morrimo01,"June 27, 1995","Grand Rapids, Michigan",3.6,49.4,41.2,80.7,85,16.4,10.1,2.3,6.4,56.1,Iowa State University,51st overall,2nd round,Denver Nuggets,2017,6-3,"Flint Beecher in Beecher, Michigan",Monte Morris,Point Guard,Right,175lb
2930,morrite01,"January 11, 1979","Frederick, Maryland",0.7,40.7,19.6,71.1,139,9.9,3.4,2.7,1.0,42.8,University of Maryland,34th overall,2nd round,Atlanta Hawks,2001,6-9,"Thomas Johnson in Frederick, Maryland",Terence Morris,Small Forward,Right,221lb
2931,morriad01,"July 19, 1984","Glendive, Montana",1.4,37.3,33.1,71.0,161,7.4,7.5,2.1,-1.4,42.3,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,6-8,"Mead in Spokane, Washington",Adam Morrison,Small Forward and Power Forward,Right,205lb
2933,morrimi01,"August 16, 1967","Washington, District of Columbia",0.3,33.8,28.6,80.0,36,4.2,2.0,0.6,-0.3,35.3,Loyola College in Maryland,51st overall,2nd round,Phoenix Suns,1989,6-4,"Northwestern in Hyattsville, Maryland",Mike Morrison,Shooting Guard,Right,195lb
2936,mortodw01,"August 8, 1971","Louisville, Kentucky",0.4,38.8,36.0,68.2,41,11.0,4.1,1.4,0.2,42.2,University of Louisville,45th overall,2nd round,Golden State Warriors,1994,6-7,"Central in Louisville, Kentucky",Dwayne Morton,Point Guard,Right,195lb
2937,mortojo01,"May 18, 1967","Bronx, New York",2.7,38.6,22.4,78.7,128,10.5,4.8,1.3,0.5,39.9,Seton Hall University,25th overall,1st round,Cleveland Cavaliers,1989,6-3,"Walton in Bronx, New York",John Morton,Shooting Guard and Small Forward,Right,180lb
2940,mosspe01,"November 11, 1958","Tucson, Arizona",1.5,41.5,17.4,72.2,136,9.2,3.9,1.5,0.9,42.3,Northeastern University,69th overall,3rd round,Boston Celtics,1982,6-2,"Regional in Amherst, Massachusetts",Perry Moss,Point Guard,Right,185lb
2941,motenla01,"March 25, 1972","Washington, District of Columbia",1.5,40.8,29.9,65.2,119,12.6,6.3,1.5,0.0,45.0,Syracuse University,36th overall,2nd round,Vancouver Grizzlies,1995,6-5,"New Hampton School in Hampton, New Hampshire",Lawrence Moten,Shooting Guard,Right,185lb
2944,mottoha01,"September 9, 1976","Helsinki, Finland",0.5,44.2,6.3,78.3,155,8.1,4.6,2.9,0.9,44.3,University of Utah,40th overall,2nd round,Atlanta Hawks,2000,6-11,"Makelanrinne in Helsinki, Finland",Hanno Mottola,Small Forward and Center,Right,247lb
2946,mountri01,"January 5, 1947","Lebanon, Indiana",2.4,43.3,31.7,82.0,283,13.5,11.8,1.7,10.5,45.3,Purdue University,132nd overall,8th round,Los Angeles Lakers,1970,6-3,"Lebanon in Lebanon, Indiana",Rick Mount,Shooting Guard,Right,175lb
2947,mournal01,"February 8, 1970","Chesapeake, Virginia",1.1,52.7,24.7,69.2,838,21.2,17.1,8.5,89.7,52.9,Georgetown University,2nd overall,1st round,Charlotte Hornets,1992,6-10,"Indian River in Chesapeake, Virginia",Alonzo Mourning,Power Forward and Center,Right,240lb
2952,muhamsh01,"November 13, 1992","Los Angeles, California",0.5,47.3,31.9,75.1,278,15.9,9.0,2.8,8.5,50.4,"University of California, Los Angeles",14th overall,1st round,Utah Jazz,2013,6-6,"Bishop Gorman in Las Vegas, Nevada",Shabazz Muhammad,Small Forward and Shooting Guard,Left,223lb
